# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.save.entities.ms,1749132222293000000,1749132243793000000,15
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1749132222293000000,1749132243793000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1749132222293000000,1749132243793000000,5
jps.load.initial.state.ms,1749132222293000000,1749132243793000000,0
jps.global.get.libraries.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1749132222293000000,1749132243793000000,0
workspaceModel.orphan.listener.update.ms,1749132222293000000,1749132243793000000,12
workspaceModel.moduleManagerBridge.newModule.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1749132222293000000,1749132243793000000,0
jps.global.initialize.library.bridges.after.loading.ms,1749132222293000000,1749132243793000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1749132222293000000,1749132243793000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1749132222293000000,1749132243793000000,2
jps.apply.loaded.storage.ms,1749132222293000000,1749132243793000000,0
jps.library.entities.serializer.load.entities.ms,1749132222293000000,1749132243793000000,0
jps.artifact.entities.serializer.save.entities.ms,1749132222293000000,1749132243793000000,0
workspaceModel.global.apply.state.to.project.ms,1749132222293000000,1749132243793000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1749132222293000000,1749132243793000000,0
jps.module.iml.entities.serializer.load.entities.ms,1749132222293000000,1749132243793000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1749132222293000000,1749132243793000000,1
jps.global.get.library.by.name.ms,1749132222293000000,1749132243793000000,0
jps.global.initialize.library.bridges.ms,1749132222293000000,1749132243793000000,0
jps.project.serializers.save.ms,1749132222293000000,1749132243793000000,21
workspaceModel.delayed.project.synchronizer.sync.ms,1749132222293000000,1749132243793000000,0
jps.global.handle.before.change.events.ms,1749132222293000000,1749132243793000000,0
Indexes.entries.lookupDuration90PMs,1749132222293000000,1749132243793000000,0.0
