Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
RegExpRepeatedSpace;RegExp;Consecutive spaces;RegExp;LOCAL;0.00;0.00%;0;4
RegExpDuplicateAlternationBranch;RegExp;Duplicate branch in alternation;RegExp;LOCAL;0.00;0.00%;0;4
ConstPropertyName;Kotlin/Naming conventions;Const property naming convention;kotlin;LOCAL;0.00;0.00%;0;6
RemoveEmptyParenthesesFromLambdaCall;Kotlin/Redundant constructs;Unnecessary parentheses in function call with lambda;kotlin;LOCAL;0.00;0.00%;0;5
RegExpSingleCharAlternation;RegExp;Single character alternation;RegExp;LOCAL;0.00;0.00%;0;4
DifferentMavenStdlibVersion;Kotlin;Library and maven plugin versions are different;XML;LOCAL;0.00;0.00%;0;2
RedundantExplicitType;Kotlin/Redundant constructs;Obvious explicit type;kotlin;LOCAL;0.00;0.00%;0;9
TestFunctionName;Kotlin/Naming conventions;Test function naming convention;kotlin;LOCAL;0.00;0.00%;0;8
UselessCallOnNotNull;Kotlin/Probable bugs;Useless call on not-null type;kotlin;LOCAL;0.00;0.00%;0;65
RegExpUnnecessaryNonCapturingGroup;RegExp;Unnecessary non-capturing group;RegExp;LOCAL;0.00;0.00%;0;4
EqualsOrHashCode;Kotlin/Probable bugs;'equals()' and 'hashCode()' not paired;kotlin;LOCAL;0.00;0.00%;0;65
